libra-oa:1690 doi:10.18130/V34V05
libra-oa:1692 doi:10.18130/V3119C
libra-oa:1694 doi:10.18130/V3WB63
libra-oa:1696 doi:10.18130/V3RN12
libra-oa:1698 doi:10.18130/V3MV0H
libra-oa:1702 doi:10.18130/V3H470
libra-oa:1706 doi:10.18130/V3CB52
libra-oa:1708 doi:10.18130/V37N2S
libra-oa:1710 doi:10.18130/V33T9X
libra-oa:1712 doi:10.18130/V3048Q
libra-oa:1714 doi:10.18130/V3VB5D
libra-oa:1720 doi:10.18130/V3QN24
libra-oa:1724 doi:10.18130/V3KV06
libra-oa:1726 doi:10.18130/V3G482
libra-oa:1728 doi:10.18130/V3BB64
libra-oa:1730 doi:10.18130/V36N2G
libra-oa:1732 doi:10.18130/V32V0J
libra-oa:1738 doi:10.18130/V3Z48D
libra-oa:1740 doi:10.18130/V3TF3C
libra-oa:1742 doi:10.18130/V3PN2T
libra-oa:1744 doi:10.18130/V3JX90
libra-oa:1746 doi:10.18130/V3F47C
libra-oa:1756 doi:10.18130/V39F43
libra-oa:1758 doi:10.18130/V31Z08
libra-oa:1760 doi:10.18130/V3X47Q
libra-oa:1764 doi:10.18130/V3SF4F
libra-oa:1766 doi:10.18130/V3NN14
libra-oa:1768 doi:10.18130/V3HZ0M
libra-oa:1772 doi:10.18130/V3D48F
libra-oa:1774 doi:10.18130/V38F55
libra-oa:1776 doi:10.18130/V34N37
libra-oa:1778 doi:10.18130/V30X91
libra-oa:1780 doi:10.18130/V3W75P
libra-oa:1782 doi:10.18130/V3RF44
libra-oa:1784 doi:10.18130/V3MR1V
libra-oa:1786 doi:10.18130/V3GX9C
libra-oa:1792 doi:10.18130/V3C751
libra-oa:1794 doi:10.18130/V37F33
libra-oa:1796 doi:10.18130/V33R2K
libra-oa:1800 doi:10.18130/V3ZX9Q
libra-oa:1802 doi:10.18130/V3V774
libra-oa:1804 doi:10.18130/V3QF4T
libra-oa:1806 doi:10.18130/V3KR2X
libra-oa:1808 doi:10.18130/V3FZ00
libra-oa:1810 doi:10.18130/V3B77G
libra-oa:1812 doi:10.18130/V36F5J
libra-oa:1814 doi:10.18130/V32R28
libra-oa:1816 doi:10.18130/V3XZ0B
libra-oa:1818 doi:10.18130/V3T76F
libra-oa:1820 doi:10.18130/V3PJ35
libra-oa:1826 doi:10.18130/V3JR17
libra-oa:1830 doi:10.18130/V3F18Q
libra-oa:1832 doi:10.18130/V3976S
libra-oa:1834 doi:10.18130/V35J4W
libra-oa:1836 doi:10.18130/V31R1K
libra-oa:1838 doi:10.18130/V3X19F
libra-oa:1840 doi:10.18130/V3S764
libra-oa:1844 doi:10.18130/V3NJ47
libra-oa:1846 doi:10.18130/V3HR1X
libra-oa:1848 doi:10.18130/V3D19S
libra-oa:1850 doi:10.18130/V3877V
libra-oa:1852 doi:10.18130/V34J4K
libra-oa:1854 doi:10.18130/V30R2N
libra-oa:1856 doi:10.18130/V3W18R
libra-oa:1858 doi:10.18130/V3RB5G
libra-oa:1860 doi:10.18130/V3MJ3J
libra-oa:1862 doi:10.18130/V3GV08
libra-oa:1864 doi:10.18130/V3C183
libra-oa:1868 doi:10.18130/V37B5T
libra-oa:1870 doi:10.18130/V33J2H
libra-oa:1872 doi:10.18130/V3ZV10
libra-oa:1874 doi:10.18130/V3V18F
libra-oa:1878 doi:10.18130/V3QB6J
libra-oa:1880 doi:10.18130/V3KJ37
libra-oa:1882 doi:10.18130/V3FV1B
libra-oa:1884 doi:10.18130/V3B195
libra-oa:1886 doi:10.18130/V36B6W
libra-oa:1888 doi:10.18130/V32J4Z
libra-oa:1890 doi:10.18130/V3XV1P
libra-oa:1892 doi:10.18130/V3T46D
libra-oa:1894 doi:10.18130/V3PB4G
libra-oa:1896 doi:10.18130/V3JN2K
libra-oa:1898 doi:10.18130/V3DV0N
libra-oa:1900 doi:10.18130/V39474
libra-oa:1902 doi:10.18130/V35B4T
libra-oa:1904 doi:10.18130/V31N39
libra-oa:1906 doi:10.18130/V3WV00
libra-oa:1908 doi:10.18130/V3S48V
libra-oa:1910 doi:10.18130/V3NB5J
libra-oa:1912 doi:10.18130/V3HN3N
libra-oa:1914 doi:10.18130/V3CV1Q
libra-oa:1916 doi:10.18130/V38486
libra-oa:1918 doi:10.18130/V34B68
libra-oa:1920 doi:10.18130/V30N30
libra-oa:1922 doi:10.18130/V3VX8D
libra-oa:1924 doi:10.18130/V3R46S
libra-oa:1926 doi:10.18130/V3MF4W
libra-oa:1928 doi:10.18130/V3GN2Z
libra-oa:1932 doi:10.18130/V3BX94
libra-oa:1934 doi:10.18130/V37464
libra-oa:1936 doi:10.18130/V33F5M
libra-oa:1938 doi:10.18130/V3ZN1X
libra-oa:1940 doi:10.18130/V3TZ0D
libra-oa:1942 doi:10.18130/V3Q47V
libra-oa:1944 doi:10.18130/V3KF5Z
libra-oa:1946 doi:10.18130/V3FN31
libra-oa:1948 doi:10.18130/V39X9T
libra-oa:1950 doi:10.18130/V36476
libra-oa:1952 doi:10.18130/V32F59
libra-oa:1954 doi:10.18130/V3XR08
libra-oa:1956 doi:10.18130/V3SX95
libra-oa:1958 doi:10.18130/V3P766
libra-oa:1960 doi:10.18130/V3JF48
libra-oa:1962 doi:10.18130/V3DR10
libra-oa:1964 doi:10.18130/V38X84
libra-oa:1966 doi:10.18130/V3577X
libra-oa:1968 doi:10.18130/V31F4M
libra-oa:1970 doi:10.18130/V3WR1B
libra-oa:1972 doi:10.18130/V3RX8G
libra-oa:1974 doi:10.18130/V3N778
libra-oa:1976 doi:10.18130/V3HF5B
libra-oa:1978 doi:10.18130/V3CR22
libra-oa:1980 doi:10.18130/V37X96
libra-oa:1982 doi:10.18130/V3477M
libra-oa:1984 doi:10.18130/V30J2K
libra-oa:2036 doi:10.18130/V3VR11
libra-oa:2038 doi:10.18130/V3R18H
libra-oa:2052 doi:10.18130/V3GJ2X
libra-oa:2116 doi:10.18130/V3BR00
libra-oa:2252 doi:10.18130/V37197
libra-oa:2340 doi:10.18130/V3376X
libra-oa:2476 doi:10.18130/V3ZJ41
libra-oa:2550 doi:10.18130/V3TR0B
libra-oa:2552 doi:10.18130/V3Q19K
libra-oa:2554 doi:10.18130/V3K77N
libra-oa:2556 doi:10.18130/V3FJ4C
libra-oa:2726 doi:10.18130/V39R2F
libra-oa:2728 doi:10.18130/V3619X
libra-oa:2737 doi:10.18130/V32770
libra-oa:2745 doi:10.18130/V3XJ3B
libra-oa:2754 doi:10.18130/V3SV02
libra-oa:2773 doi:10.18130/V3P18W
libra-oa:2492 doi:10.18130/V3JB47
libra-oa:3516 doi:10.18130/V3DJ29
libra-oa:3520 doi:10.18130/V38V1S
libra-oa:3522 doi:10.18130/V35187
libra-oa:3524 doi:10.18130/V31B6B
libra-oa:3526 doi:10.18130/V3WJ31
libra-oa:3528 doi:10.18130/V3RV14
libra-oa:3518 doi:10.18130/V3N19Z
libra-oa:7 doi:10.18130/V3HB6P
libra-oa:3571 doi:10.18130/V3CJ4R
libra-oa:3608 doi:10.18130/V37V1G
libra-oa:1164 doi:10.18130/V34199
libra-oa:1172 doi:10.18130/V30B5N
libra-oa:1174 doi:10.18130/V3VN2C
libra-oa:1176 doi:10.18130/V3QV0F
libra-oa:1178 doi:10.18130/V3M47X
libra-oa:1180 doi:10.18130/V3GB50
libra-oa:1182 doi:10.18130/V3BN2Q
libra-oa:1214 doi:10.18130/V36V0S
libra-oa:1226 doi:10.18130/V3348N
libra-oa:1260 doi:10.18130/V3ZB5B
libra-oa:1204 doi:10.18130/V3TN3F
libra-oa:1312 doi:10.18130/V3PV04
libra-oa:1336 doi:10.18130/V3K480
